TestCase,Concurrency,IndexSize,ItemsCount,ReturnRows,ReturnSize,ScanRows,ResidentRatio,Num_replicas,95th_Latency,90th_Latency,Through,Duration,Throughput
2a,200,127,"1,301,778",11,35500710,5072,1,0,294869339,289182585,8091,135.954006,735.542872
2b,200,127,"1,301,778",22,71201424,5072,1,0,315432827,306798080,15331,143.4930938,696.8976512
2c,200,127,"1,301,778",30,97201944,5072,1,0,326856271,317314972,20318,147.6528521,677.2642624
2d,200,127,"1,301,778",40,129802596,5072,1,0,325103089,315941425,27029,147.9866923,675.7364357
2e,200,127,"1,301,778",50,162203244,5072,1,0,307862647,301222706,35326,141.5381999,706.5230454
2f,200,127,"1,301,778",70,229404588,5072,1,0,299472893,291066655,50758,137.9098934,725.1111399
2g,200,127,"1,301,778",100,329706594,5072,1,0,309579084,302525239,70552,141.7399463,705.5174115
2h,200,127,"1,301,778",200,664613292,5072,1,0,338765111,321678631,133643,149.6533951,668.2107007
2i,200,127,"1,301,778",300,1000520010,5072,1,0,323222354,308410112,207753,144.4030502,692.5061476
2j,200,127,"1,301,778",401,1340226804,5072,1,0,419720777,356967084,244227,164.1928876,609.0397791
2k,200,127,"1,301,778",500,1671733434,5072,1,0,517118039,342293716,323591,154.5172151,647.1770795
2l,200,127,"1,301,778",600,2017140342,5072,1,0,531964261,495251726,368334,162.8968821,613.8852917
2m,200,127,"1,301,778",700,2361947238,5072,1,0,523245677,496425542,441255,158.6398473,630.3586503
2n,200,127,"1,301,778",1000,3399267984,5072,1,0,552768908,535688084,563310,177.5236122,563.3053471
2aa,200,127,"1,301,778",11,35500710,5072,1,1,254097217,251670108,8764,125.5146775,796.7195709
2bb,200,127,"1,301,778",22,71201424,5072,1,1,257117117,251800849,17524,125.5401028,796.5582134
2cc,200,127,"1,301,778",30,97201944,5072,1,1,255569232,251037754,23714,126.5076091,790.4662868
2dd,200,127,"1,301,778",40,129802596,5072,1,1,254588052,251307737,31673,126.2891537,791.8336379
2ee,200,127,"1,301,778",50,162203244,5072,1,1,255180791,252027969,39617,126.2071799,792.347948
2ff,200,127,"1,301,778",70,229404588,5072,1,1,255877521,251591880,55905,125.2132121,798.6377663
2gg,200,127,"1,301,778",100,329706594,5072,1,1,258671395,253704325,79339,126.0424933,793.3832261
